"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV145",11,276,132,66,16,328,0,11,0,27,22,65,16,7,64,65,35,131,70,13,0,531,87,0,71,0,102,30,27,48,0
"ASV146",0,30,0,50,33,0,76,0,22,0,0,19,0,17,0,0,1775,0,0,48,32,37,0,0,40,0,0,0,72,0,0
"ASV147",230,79,28,80,146,99,11,0,38,0,105,30,0,210,51,50,0,0,36,34,153,265,113,51,110,0,88,75,0,163,0
"ASV148",216,11,103,98,4,57,91,9,96,55,133,99,45,186,202,0,0,13,18,100,78,83,46,91,36,101,5,19,16,215,0
"ASV149",0,734,0,0,0,963,0,0,0,0,0,98,244,0,0,49,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0
"ASV150",146,96,58,0,0,121,83,0,60,0,0,79,78,157,94,0,0,0,147,201,143,138,0,219,141,137,0,0,111,0,0
"ASV151",270,0,15,125,77,61,96,0,59,0,59,67,55,0,153,78,0,267,0,82,83,48,68,268,34,57,0,107,47,25,0
"ASV152",0,0,0,117,326,0,231,0,0,0,0,60,0,0,0,0,0,0,0,318,550,130,20,0,0,257,108,0,55,0,0
"ASV153",54,106,87,92,58,57,0,40,47,0,50,55,102,60,29,75,22,75,79,193,59,175,62,75,165,71,79,77,42,76,0
"ASV154",306,46,0,31,0,49,225,8,62,45,61,71,17,212,55,0,0,28,111,50,104,105,26,88,140,68,11,109,86,32,0
"ASV155",0,84,38,0,102,0,0,239,100,145,46,0,0,141,0,66,32,86,69,69,96,107,65,312,108,64,0,0,141,34,0
"ASV156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,58,0,0,0,0,0,0,0,0,0
"ASV157",94,0,62,0,174,69,49,71,49,179,63,92,90,63,151,18,0,161,34,72,115,70,103,102,68,35,35,0,19,98,0
"ASV158",61,46,196,54,18,18,8,35,83,29,225,35,32,138,66,0,28,596,0,15,171,13,24,0,30,32,32,18,49,68,0
"ASV159",12,110,0,181,0,784,0,0,0,0,32,0,0,38,119,0,0,0,124,178,0,323,0,46,0,20,0,0,101,51,0
"ASV160",40,100,131,42,53,51,0,0,99,0,80,56,63,126,45,0,0,56,51,0,377,269,49,159,0,51,0,0,81,115,0
"ASV161",46,208,37,313,9,0,0,8,115,23,0,42,10,26,25,325,87,229,43,45,0,26,145,19,28,0,88,0,155,30,0
"ASV162",0,44,72,59,52,64,0,0,0,0,31,112,231,0,0,0,24,41,188,72,268,125,141,0,85,109,189,0,108,59,0
"ASV163",34,47,188,84,0,28,21,4,80,11,11,21,0,75,25,62,0,0,0,103,87,0,102,769,38,68,39,74,0,80,0
"ASV164",0,0,137,23,27,0,12,0,0,0,0,0,0,0,0,622,1031,0,0,0,20,83,0,0,71,0,0,0,9,0,0
"ASV165",53,111,32,80,44,36,0,19,0,49,0,24,53,21,16,25,21,69,62,57,41,469,98,24,183,63,200,42,65,62,0
"ASV166",20,22,145,177,0,71,0,47,175,56,184,55,0,355,124,0,0,0,0,207,0,56,52,93,16,31,15,0,0,87,0
"ASV167",0,242,113,0,0,182,0,331,0,0,0,0,138,67,0,146,0,0,0,0,0,495,0,0,70,0,198,0,0,0,0
"ASV168",0,0,64,53,71,160,0,29,0,0,0,37,0,71,34,0,0,0,360,54,467,0,0,0,0,303,0,76,193,0,0
"ASV169",156,15,79,44,28,28,241,14,88,6,57,44,18,38,280,5,42,23,17,13,36,15,20,479,71,25,24,16,19,26,0
"ASV170",0,56,151,134,28,198,0,0,26,39,22,17,24,36,0,50,109,58,426,66,128,114,29,21,51,0,92,47,20,22,0
"ASV171",8,0,0,0,0,0,0,0,0,0,92,0,0,1787,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV172",743,107,0,83,0,24,0,22,0,0,0,0,0,0,0,390,0,0,0,357,0,103,55,0,0,0,0,0,0,58,0
"ASV173",232,0,43,59,44,83,58,0,0,0,0,0,26,71,61,0,20,17,51,190,48,186,45,376,32,104,0,106,0,77,0
"ASV174",21,106,44,67,100,19,0,98,43,65,55,27,0,66,50,43,13,101,42,77,107,84,72,249,83,44,93,19,79,36,0
"ASV175",9,0,124,21,19,22,19,62,50,14,0,61,94,15,25,31,36,83,30,73,44,583,47,96,75,36,20,47,60,95,0
"ASV176",61,116,209,41,62,90,40,41,52,0,68,48,74,119,77,96,0,66,72,149,83,95,0,0,50,59,0,0,0,111,0
"ASV177",0,0,0,0,0,0,71,0,47,0,62,0,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV178",51,9,100,69,10,20,42,8,65,2,44,39,34,30,74,0,0,44,60,88,458,51,64,137,19,219,0,7,24,53,0
"ASV179",66,125,102,100,93,111,0,52,78,45,25,49,45,37,37,84,73,90,24,42,10,216,22,52,23,0,123,16,23,52,0
"ASV180",111,0,208,32,0,0,0,0,211,0,152,218,31,389,139,0,0,0,0,15,0,0,0,18,0,284,0,0,0,0,0
"ASV181",0,217,47,33,115,103,0,9,13,67,28,31,94,11,0,11,12,98,117,96,122,303,23,0,55,0,113,12,0,76,0
